"Movie.Name","Plot","dominant_topic"
"Pioneers of the West ","Pioneers of the West  :  Caught by the Piutes, pony Express Rider Dick Carter falls in love with pretty Dorothy Earle, who belongs to that seemingly endless supply of white girls kidnapped in childhood and raised by Indians. Unfortunately, Dorothy is promised to Bud Osborne, described in a title as ""a renegade white who dominates the simple minds of the savage horde."" Does Dorothy succeed in taking her own life rather than face an uncertain future with evil Bud? Or does the stalwart Dick rescue her in time?","Sports and Competition"
"The Infiltrators ","The Infiltrators  :  A tight team of three young ""recreational trespassers"" - law student Abby, dropout daredevil Jay and wheelchair bound tech whiz Milton - hire themselves out to people who want to get into places they're not supposed to be in.",NA
"""Graviton: The Ghost Particle"" ","""Graviton: The Ghost Particle""  :  Science is on the verge of discovering a mechanism to communicate with parallel worlds. A young group of outcast, brilliant physicists manage to crack the communication code, discovering the dangerous risks that may be at stake in doing so.","Crime and Revenge"
"Moses: Fallen. In the City of Angels. ","Moses: Fallen. In the City of Angels.  :  A tale of a fallen angel who was sentenced to a human life sentence... Moses, the angel of life is haunted by the visions of a dead child works as an assassin for Mrs. Mier whose true identity is Gabriel the Arc Angel... the assassination of Lucky Palermo was a mistake. Julius Palermo, Lucky's brother whose true identity is The dark angel... Make a vow to destroy Moses. Sending his daughter Angel Eyes a top underworld assassin to kill him... touched by the Arc Angel Gabriel, Angel eyes falls for moses instead. Moses finds out from Mrs. Mier that he is a fallen angel and his mission is to bring the Dark Angel back home to heaven... Together along with Jesus, a homeless Vietnam Vet, the trio hit the desert highway. Jesus leads moses and Angel eyes to his old time Vietnam Buddy John J whose life he saved in Nam. Together they will fight what ensues a show down between the forces of good and evil. Who will prevail?","Crime and Revenge"
"The Slave Trade ","The Slave Trade  :  Beginning with the American Revolution, this program explores the U.S. law of 1807 that abolished the transatlantic slave trade. Meet the people who were involved in or influenced by this pivotal legislation: the slaves, plantation owners, slave ship captains, common seamen, government officials, Navy officers, and antislavery activists.","Urban Life and Conflict"
"The 303rd ","The 303rd  :  Ret. Col. Louis ""Mel"" Schulstad of the 303rd Bomb Group was among the first pilots to lead daytime bombing missions over Western Europe in 1942. He recalls the early days of World War II and the impossible odds that these brave men faced to ensure the safety and freedom of generations to come.","Aliens and Science Fiction"
"The Masked Dancer ","The Masked Dancer  :  Robert Powell, a New York City husband is fond of going out on the town and making friends with various women here and there, with nightclub dancers high on his list. His wife, Betty, figures that two can play that game, and she dons a mask and becomes a very popular dancer. Robert falls in love with the Masked Dancer, not knowing she is his wife. Betty has a smoothie Prince as a second suitor.","Fantasy and Quest"
"The Heart of a Knight ","The Heart of a Knight  :  A young knight embarks on a quest to understand the relationship between Knights and their Ladies, and how to become a great Knight of the Round Table. Based on the novel ""The Acts of King Arthur and His Noble Knights,"" John Steinbeck's witty and passionate retelling of Sir Thomas Malory's enduring 15th Century literary classic, ""Le Morte d'Arthur.""",NA
"The Outlaw Deputy ","The Outlaw Deputy  :  Ex-outlaw Tim Mallory is looking for the killer of his friend Chuck. Having thwarted a robbery attempt by one of his old gang members he is made a Deputy. He finds Houger who he believes is the killer and starts cleaning up his town. When an old gang member arrives and exposes him, he is arrested. But before being taken to jail, he sees Houger is wearing Chuck's watch. Tim Malloy (Tim McCoy) turned outlaw to right a great wrong. After that purpose has been attained, another task awaits him---the avenging of the murder of his young friend Chuck Adams (George Offerman, Jr. billed as he always was.) The trail leads Tim to Goldland which is ruled by gamblers and bandits and has a useless sheriff. Mine owner Rutledge (Joseph Girard) has Tim appointed a deputy to enforce the law. Tim defies Howger (Hooper Atchley), boss of Goldland, at the saloon headquarters of the gang, and his gun barks death to the henchmen sent to get him. Joyce Rutledge (Nora Lane) is fascinated, but fears Tim, whom she thinks is too ruthless in his methods. Her opinion changes when she sees him, outnumbered, disperse Howger's henchmen, when they disrupt a church service. Cash (Bud Osborne), an old enemy, who is aware of Tim's outlaw past, reveals it to Howager. Tim admits the truth to Howager's accusations and is jailed. Joyce goes to the jail at night and frees him. In the final reckoning, Tim shoots down Howger, whom he identifies as the killer of Chuck as he is carrying Chuck's watch which was taken off his body. Mission accomplished, Tim is about to ride away...maybe.","War and Humanity"
"Star Wars: The Force Unleashed ","Star Wars: The Force Unleashed  :  Darth Vader has a secret apprentice to help him kill the last of the remaining jedi, little does he realise, this apprentice will unwittingly form the rebel alliance... A non profit, no budget fan film based on the popular video game by George Lucas and LucasArts who own all rights.","Urban Life and Conflict"
"Moto 7: The Movie ","Moto 7: The Movie  :  MOTO7: A film that rewrites the moto playbook, with the biggest jumps, the gnarliest tracks, and some of the most remote locations a motorcycle has ever touched. Experience Blake Baggett's newly-developed El Chupacabra Ranch in Florida, one of the most gargantuan home tracks ever made, where Baggett and Ken Roczen enjoy a daily routine of riding light speed fast laps with an almost lackadaisical ease. Three miles away, Aldon Baker trains factory superstars Ryan Dungey, Marvin Musqin and Jason Anderson on a program fit for Seal Team Six. Then there's the Smokey Mountains in Idaho, where the Sipes brothers Ryan and Justin go to feel the sweet serenity of a man, his motorcycle, and countless miles of natural single-track. All of these riders are taking moto to territories it has never seen, be that on the stopwatch or the trail map. There's Colton Haaker, the Endurocross phenom whose bike-control and technical abilities are that of superhuman levels. Then of course, Justin Barcia, the exemplar of style on a motocross bike, the guy who defies logic and rides with an amount of panache and flamboyance that is shunned in professional motocross, yet somehow has climbed to the top of the sport.","Crime and Revenge"
"The Galloping Ace ","The Galloping Ace  :  When Jim Jordon, a war hero, cannot get back his old ranch job, he takes work at a ranch owned by Anne Morse. He soon learns that Kincaid, the owner of a nearby marble quarry, is plotting to seize some of Miss Morse's land. Jordan puts a quash to Kincaid's plans and finds romance with Anne.","History and Art"
